,Open,High,Low,Close,Volume
2024-01-11,21.6200,21.6900,21.0250,21.4000,26448
2024-01-12,21.4100,21.6000,21.3200,21.4600,24734
2024-01-16,20.7200,21.0700,20.4500,20.9900,46074
2024-01-17,20.4500,20.7900,20.3800,20.7900,14622
2024-01-18,21.4600,22.0500,21.4600,21.9800,87373
2024-01-19,22.1300,22.6000,22.0000,22.5600,43061
2024-01-22,22.7000,23.3900,22.7000,23.1000,65179
2024-01-23,23.3500,23.3800,23.1500,23.3600,36800
2024-01-24,23.6432,23.6432,23.1700,23.2100,37146
2024-01-25,23.4000,23.5699,22.8800,23.0900,28572
2024-01-26,23.1299,23.1800,22.6400,22.6900,20890
2024-01-29,22.5000,22.5100,22.1600,22.5100,24041
2024-01-30,22.3200,22.3900,21.5400,21.6500,125494
2024-01-31,21.3500,21.3500,20.8200,20.8200,67618
2024-02-01,20.7000,21.3200,20.7000,21.3100,75316
2024-02-02,19.7600,21.3790,19.6000,21.1000,177612
2024-02-05,21.6000,21.8599,21.0900,21.5200,203827
2024-02-06,21.4800,21.8400,21.4350,21.8400,72502
2024-02-07,22.2000,22.2000,21.7004,21.8900,22487
2024-02-08,21.8410,21.8700,21.4500,21.6400,31561
2024-02-09,21.7000,22.0291,21.6600,21.7300,14031
2024-02-12,21.6100,21.6300,21.3500,21.4000,35543
2024-02-13,20.8600,21.1000,20.5650,20.9000,19814
2024-02-14,20.9600,20.9600,20.3000,20.6700,25720
2024-02-15,20.5500,20.7000,20.0700,20.6300,59014
2024-02-16,20.5000,20.7400,20.1500,20.2400,31937
2024-02-20,20.1100,20.1100,19.7500,20.0900,25114
2024-02-21,20.2900,20.3390,19.8700,20.2400,121352
2024-02-22,20.5000,20.7700,20.2700,20.6600,52192
2024-02-23,20.7800,20.7800,20.2000,20.2400,17847
2024-02-26,20.1900,20.2600,19.8100,19.9400,23143
2024-02-27,19.9300,20.4600,19.6800,20.2600,59223
2024-02-28,20.0608,20.1800,19.6950,19.9800,231290
2024-02-29,19.9400,20.1400,19.5300,19.7700,148153
2024-03-01,19.5600,19.7100,19.0500,19.5300,139917
2024-03-04,18.8400,18.9100,18.2800,18.5700,274719
2024-03-05,17.6100,17.8900,17.4200,17.5000,219822
2024-03-06,17.7000,17.7000,17.2000,17.3000,174473
2024-03-07,17.3200,17.5990,17.1532,17.3000,280239
2024-03-08,17.5100,18.1900,17.2620,17.6700,204125
2024-03-11,18.0200,18.5600,17.9060,18.0800,346514
2024-03-12,18.0800,18.2300,17.6501,18.1100,395921
2024-03-13,18.0600,18.0600,17.5800,17.6700,328734
2024-03-14,18.0200,18.2990,17.8300,18.0500,137938
2024-03-15,17.7600,17.9100,17.4500,17.9100,76046
2024-03-18,18.5500,18.9500,18.1200,18.1300,294642
2024-03-19,18.1800,18.7300,17.9800,18.6400,120819
2024-03-20,18.5000,19.1600,18.4300,19.1300,104204
2024-03-21,18.8400,18.8900,17.4900,17.5900,639598
2024-03-22,17.6800,17.9200,17.3300,17.7400,483872
2024-03-25,17.4200,17.6700,17.2000,17.4600,147075
2024-03-26,17.3100,17.5900,17.2300,17.2700,150555
2024-03-27,17.3700,17.9903,17.3500,17.9600,233081
2024-03-28,17.6700,17.7000,17.3600,17.5300,119924
2024-04-01,17.5000,17.5000,17.1500,17.2600,80188
2024-04-02,17.0600,17.0700,16.9000,17.0300,122518
2024-04-03,16.9900,17.3631,16.9866,17.2000,181310
2024-04-04,17.3100,17.6089,17.0000,17.0000,178937
2024-04-05,17.1100,17.2700,17.0200,17.1400,54957
2024-04-08,17.0200,17.0200,16.8700,16.9000,170834
2024-04-09,16.9300,17.1801,16.8813,17.1400,95444
2024-04-10,16.9700,16.9700,16.6200,16.7500,52452
2024-04-11,16.8000,18.2700,16.8000,18.1700,234019
2024-04-12,18.0400,18.8457,18.0105,18.4700,389126
2024-04-15,18.2200,18.4700,17.6300,17.6500,189759
2024-04-16,17.4800,17.8100,16.7800,16.9600,424786
2024-04-17,17.0300,17.2000,16.7000,16.7000,132979
2024-04-18,16.6600,16.7915,16.4200,16.4800,53919
2024-04-19,16.2400,16.3400,15.9100,16.0900,106356
2024-04-22,16.1800,16.4500,16.0400,16.2500,41248
2024-04-23,16.1150,16.4500,16.0600,16.4500,505973
2024-04-24,16.3400,16.9090,16.3400,16.8600,157211
2024-04-25,17.0300,17.1200,16.6704,17.0300,137269
2024-04-26,17.0100,17.2700,16.8800,16.8900,82704
2024-04-29,17.6800,18.2100,17.6600,17.7500,183815
2024-04-30,17.7000,18.0057,17.0400,17.0600,175573
2024-05-01,16.9100,17.5300,16.8110,16.8500,148337
2024-05-02,17.4800,17.6467,17.2000,17.6400,383953
2024-05-03,20.3000,20.4100,19.5800,19.7000,369263
2024-05-06,19.4700,19.8200,19.0500,19.3000,250459
2024-05-07,19.7000,19.9600,19.2500,19.4500,188605
2024-05-08,19.5300,19.5900,19.2900,19.5400,60030
2024-05-09,19.4800,19.9200,19.4000,19.9000,231846
2024-05-10,20.0300,20.0400,19.4500,19.5900,96749
2024-05-13,20.0500,20.4600,19.9600,20.3100,179023
2024-05-14,20.6100,20.7300,20.3298,20.5500,111905
2024-05-15,20.6200,21.2300,20.5500,21.0300,216469
2024-05-16,21.2300,21.3250,21.0200,21.0600,149528
2024-05-17,20.9500,21.2200,20.9400,21.0400,73116
2024-05-20,20.9100,21.4686,20.8900,21.3100,129696
2024-05-21,21.2800,21.6500,21.2800,21.5700,46629
2024-05-22,21.5500,21.6705,21.1350,21.2900,72375
2024-05-23,21.2800,21.2800,20.2900,20.3300,79469
2024-05-24,20.6280,21.1300,20.6200,20.9900,77910
2024-05-28,21.3600,21.6492,20.8200,21.0300,119462
2024-05-29,20.9899,21.4800,20.9899,21.1100,126723
2024-05-30,21.1400,21.4740,21.1400,21.3200,66120
2024-05-31,21.3600,21.5200,20.9648,21.4900,104106
2024-06-03,21.6400,22.0600,21.5600,21.8500,121044
2024-06-04,22.0100,22.1300,21.6400,21.9100,86072
2024-06-05,22.1200,22.4600,22.0500,22.2500,138458
2024-06-06,22.2900,22.3998,21.8900,21.9200,104280
2024-06-07,21.9600,22.4700,21.8515,22.4700,189536
2024-06-10,22.5300,22.5500,21.4000,21.6200,415334
2024-06-11,21.7500,24.7000,21.7500,24.6900,690421
2024-06-12,24.8000,27.7800,24.7200,26.1000,937262
2024-06-13,26.5200,27.0000,25.7601,26.3400,404057
2024-06-14,26.2400,26.5500,25.6494,25.9200,206862
2024-06-17,26.1800,27.5000,25.9900,26.9700,488079
2024-06-18,27.2000,27.4090,26.0500,26.3700,299828
2024-06-20,26.2400,26.2800,24.9900,25.1600,518543
2024-06-21,25.3200,25.6799,24.5500,24.5800,325376
2024-06-24,24.6900,25.8800,24.4485,24.8200,339178
2024-06-25,25.0500,25.5800,24.9300,25.0300,155926
2024-06-26,25.5600,26.3894,25.4000,25.9900,324531
2024-06-27,26.3600,26.5600,25.7900,26.2000,227236
2024-06-28,26.6100,26.6300,25.2600,25.3400,225309
2024-07-01,25.6700,26.9800,25.6500,26.8200,204266
2024-07-02,26.6800,27.7200,26.4200,27.7200,276091
2024-07-03,27.6100,27.9690,27.4119,27.9600,307106
2024-07-05,27.9900,29.1900,27.9900,29.1600,221565
2024-07-08,29.4200,29.5600,28.4400,29.5600,300335
2024-07-09,29.6100,29.9200,29.2049,29.7900,207501
2024-07-10,29.9600,30.8900,29.9500,30.8800,185558
2024-07-11,30.4800,30.6400,29.0000,29.4600,324433
2024-07-12,29.7800,30.7099,29.7700,30.2300,217346
2024-07-15,31.7200,31.9000,30.8700,31.2300,289597
2024-07-16,31.4300,31.6900,30.6800,31.3200,157816
2024-07-17,29.9200,30.3700,29.1700,29.7200,191417
2024-07-18,30.1000,30.1000,28.0400,28.4500,284733
2024-07-19,28.6400,29.1174,28.2400,28.5100,128792
2024-07-22,29.2200,29.3300,28.1900,28.4000,218283
2024-07-23,28.4600,29.1299,28.0710,28.6600,113813
2024-07-24,28.4600,28.5200,26.6520,27.0200,159518
2024-07-25,27.0900,27.5599,26.0204,26.7200,105016
2024-07-26,27.0700,27.1999,26.4800,26.8400,62912
2024-07-29,26.5600,27.1300,26.3099,26.9000,105225
2024-07-30,27.1400,27.3900,26.3800,27.0100,61109
2024-07-31,27.7100,28.2720,27.6000,27.8100,79630
2024-08-01,28.3900,28.4000,26.6200,26.9000,269689
2024-08-02,27.0400,28.6100,26.8000,27.2500,502730
2024-08-05,21.9500,25.5400,21.3800,24.5400,339768
